epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.34104,1.25717,3.76461,1.34894,0.00333,0.5,0.00707,0.00432,0.58497,3.75692,0.95861,6e-05,6e-05,6e-05
2,5.95209,1.04506,3.60287,1.15167,0.00333,0.5,0.08451,0.02072,0.61301,3.71899,0.91805,0.000137228,0.000137228,0.000137228
3,8.46816,1.04446,3.22907,1.09775,0.00333,0.5,0.24783,0.05305,0.68261,3.71288,0.91883,0.000211288,0.000211288,0.000211288
4,10.8784,0.97823,2.99395,1.04499,0.00333,0.5,0.49585,0.44627,0.78136,3.29877,1.03934,0.00028218,0.00028218,0.00028218
5,12.8904,0.89874,2.36318,0.95724,0.00333,0.5,0.49585,0.42131,0.84906,3.12782,1.05003,0.000349904,0.000349904,0.000349904
6,14.7996,0.78175,1.96081,0.99319,0.7015,0.5,0.49585,0.40899,0.84416,2.92823,1.03334,0.00041446,0.00041446,0.00041446
7,16.6983,0.86055,1.48006,0.96581,0.7015,0.5,0.49585,0.40899,0.84416,2.92823,1.03334,0.000475848,0.000475848,0.000475848
8,18.6858,0.85409,1.64109,0.93008,0.82905,0.5,0.49585,0.44627,0.76132,2.84741,0.99349,0.000534068,0.000534068,0.000534068
9,20.7108,0.9298,1.9636,1.02121,0.94218,0.5,0.49585,0.40899,0.74653,2.89516,0.99987,0.00058912,0.00058912,0.00058912
10,22.7434,0.83437,1.57895,0.91615,0.94218,0.5,0.49585,0.40899,0.74653,2.89516,0.99987,0.000641004,0.000641004,0.000641004
11,24.7467,0.9324,1.61398,1.07921,0.00477,0.5,0.49585,0.44627,0.73953,3.0207,0.95814,0.00068972,0.00068972,0.00068972
12,26.7652,0.75345,1.66798,1.00569,0.00477,0.5,0.49585,0.44627,0.73953,3.0207,0.95814,0.000735268,0.000735268,0.000735268
13,28.6803,0.9449,1.73975,1.0939,0.00448,0.5,0.49585,0.44627,0.69351,3.112,0.9477,0.000777648,0.000777648,0.000777648
14,30.6618,0.77404,1.58775,1.02393,0.00448,0.5,0.49585,0.44627,0.69351,3.112,0.9477,0.00081686,0.00081686,0.00081686
15,32.6712,0.95773,1.56663,1.02847,0.95986,0.5,0.49585,0.44627,0.68817,2.96914,0.90263,0.000852904,0.000852904,0.000852904
16,34.7032,0.72453,1.38587,0.95363,0.95986,0.5,0.49585,0.44627,0.68817,2.96914,0.90263,0.00088578,0.00088578,0.00088578
17,36.6822,1.16279,1.87667,1.2429,0.95986,0.5,0.49585,0.44627,0.68817,2.96914,0.90263,0.000915488,0.000915488,0.000915488
18,38.6883,0.77453,1.43741,0.93783,0.98239,0.5,0.49585,0.42131,0.67506,3.01418,0.83804,0.000942028,0.000942028,0.000942028
19,40.673,0.87916,1.50369,1.00707,0.98239,0.5,0.49585,0.42131,0.67506,3.01418,0.83804,0.0009654,0.0009654,0.0009654
20,42.6045,0.71446,1.20341,0.94458,0.98239,0.5,0.49585,0.42131,0.67506,3.01418,0.83804,0.000985604,0.000985604,0.000985604
21,44.5709,0.80422,1.4959,1.08087,0.98239,0.5,0.49585,0.42131,0.67506,3.01418,0.83804,0.00100264,0.00100264,0.00100264
